model,make,type,origin,drivetrain,msrp,invoice,engine_size,cyl,horsepower,mpg_city,mpg_hwy,weight,wheelbase,length,domestic
MDX,Acura,SUV,Asia,All,36945,33337,3.5,6,265,17,23,4451,106,189,0
RSX Type S 2dr,Acura,Sedan,Asia,Front,23820,21761,2,4,200,24,31,2778,101,172,0
TSX 4dr,Acura,Sedan,Asia,Front,26990,24647,2.4,4,200,22,29,3230,105,183,0
TL 4dr,Acura,Sedan,Asia,Front,33195,30299,3.2,6,270,20,28,3575,108,186,0
3.5 RL 4dr,Acura,Sedan,Asia,Front,43755,39014,3.5,6,225,18,24,3880,115,197,0
3.5 RL w/Navigation 4dr,Acura,Sedan,Asia,Front,46100,41100,3.5,6,225,18,24,3893,115,197,0
NSX coupe 2dr manual S,Acura,Sports,Asia,Rear,89765,79978,3.2,6,290,17,24,3153,100,174,0
A4 1.8T 4dr,Audi,Sedan,Europe,Front,25940,23508,1.8,4,170,22,31,3252,104,179,0
A41.8T convertible 2dr,Audi,Sedan,Europe,Front,35940,32506,1.8,4,170,23,30,3638,105,180,0
A4 3.0 4dr,Audi,Sedan,Europe,Front,31840,28846,3,6,220,20,28,3462,104,179,0
A4 3.0 Quattro 4dr manual,Audi,Sedan,Europe,All,33430,30366,3,6,220,17,26,3583,104,179,0
A4 3.0 Quattro 4dr auto,Audi,Sedan,Europe,All,34480,31388,3,6,220,18,25,3627,104,179,0
A6 3.0 4dr,Audi,Sedan,Europe,Front,36640,33129,3,6,220,20,27,3561,109,192,0
A6 3.0 Quattro 4dr,Audi,Sedan,Europe,All,39640,35992,3,6,220,18,25,3880,109,192,0
A4 3.0 convertible 2dr,Audi,Sedan,Europe,Front,42490,38325,3,6,220,20,27,3814,105,180,0
A4 3.0 Quattro convertible 2dr,Audi,Sedan,Europe,All,44240,40075,3,6,220,18,25,4013,105,180,0
A6 2.7 Turbo Quattro 4dr,Audi,Sedan,Europe,All,42840,38840,2.7,6,250,18,25,3836,109,192,0
A6 4.2 Quattro 4dr,Audi,Sedan,Europe,All,49690,44936,4.2,8,300,17,24,4024,109,193,0
A8 L Quattro 4dr,Audi,Sedan,Europe,All,69190,64740,4.2,8,330,17,24,4399,121,204,0
S4 Quattro 4dr,Audi,Sedan,Europe,All,48040,43556,4.2,8,340,14,20,3825,104,179,0
RS 6 4dr,Audi,Sports,Europe,Front,84600,76417,4.2,8,450,15,22,4024,109,191,0
TT 1.8 convertible 2dr (coupe),Audi,Sports,Europe,Front,35940,32512,1.8,4,180,20,28,3131,95,159,0
TT 1.8 Quattro 2dr (convertible),Audi,Sports,Europe,All,37390,33891,1.8,4,225,20,28,2921,96,159,0
TT 3.2 coupe 2dr (convertible),Audi,Sports,Europe,All,40590,36739,3.2,6,250,21,29,3351,96,159,0
A6 3.0 Avant Quattro,Audi,Wagon,Europe,All,40840,37060,3,6,220,18,25,4035,109,192,0
S4 Avant Quattro,Audi,Wagon,Europe,All,49090,44446,4.2,8,340,15,21,3936,104,179,0
X3 3.0i,BMW,SUV,Europe,All,37000,33873,3,6,225,16,23,4023,110,180,0
X5 4.4i,BMW,SUV,Europe,All,52195,47720,4.4,8,325,16,22,4824,111,184,0
325i 4dr,BMW,Sedan,Europe,Rear,28495,26155,2.5,6,184,20,29,3219,107,176,0
325Ci 2dr,BMW,Sedan,Europe,Rear,30795,28245,2.5,6,184,20,29,3197,107,177,0
325Ci convertible 2dr,BMW,Sedan,Europe,Rear,37995,34800,2.5,6,184,19,27,3560,107,177,0
325xi 4dr,BMW,Sedan,Europe,All,30245,27745,2.5,6,184,19,27,3461,107,176,0
330i 4dr,BMW,Sedan,Europe,Rear,35495,32525,3,6,225,20,30,3285,107,176,0
330Ci 2dr,BMW,Sedan,Europe,Rear,36995,33890,3,6,225,20,30,3285,107,176,0
330xi 4dr,BMW,Sedan,Europe,All,37245,34115,3,6,225,20,29,3483,107,176,0
525i 4dr,BMW,Sedan,Europe,Rear,39995,36620,2.5,6,184,19,28,3428,114,191,0
330Ci convertible 2dr,BMW,Sedan,Europe,Rear,44295,40530,3,6,225,19,28,3616,107,177,0
530i 4dr,BMW,Sedan,Europe,Rear,44995,41170,3,6,225,20,30,3472,114,191,0
545iA 4dr,BMW,Sedan,Europe,Rear,54995,50270,4.4,8,325,18,26,3814,114,191,0
745i 4dr,BMW,Sedan,Europe,Rear,69195,63190,4.4,8,325,18,26,4376,118,198,0
745Li 4dr,BMW,Sedan,Europe,Rear,73195,66830,4.4,8,325,18,26,4464,123,204,0
M3 coupe 2dr,BMW,Sports,Europe,Rear,48195,44170,3.2,6,333,16,24,3415,108,177,0
M3 convertible 2dr,BMW,Sports,Europe,Rear,56595,51815,3.2,6,333,16,23,3781,108,177,0
Z4 convertible 2.5i 2dr,BMW,Sports,Europe,Rear,33895,31065,2.5,6,184,20,28,2932,98,161,0
Z4 convertible 3.0i 2dr,BMW,Sports,Europe,Rear,41045,37575,3,6,225,21,29,2998,98,161,0
325xi Sport,BMW,Wagon,Europe,All,32845,30110,2.5,6,184,19,26,3594,107,176,0
Rainier,Buick,SUV,USA,All,37895,34357,4.2,6,275,15,21,4600,113,193,1
Rendezvous CX,Buick,SUV,USA,Front,26545,24085,3.4,6,185,19,26,4024,112,187,1
Century Custom 4dr,Buick,Sedan,USA,Front,22180,20351,3.1,6,175,20,30,3353,109,195,1
LeSabre Custom 4dr,Buick,Sedan,USA,Front,26470,24282,3.8,6,205,20,29,3567,112,200,1
Regal LS 4dr,Buick,Sedan,USA,Front,24895,22835,3.8,6,200,20,30,3461,109,196,1
Regal GS 4dr,Buick,Sedan,USA,Front,28345,26047,3.8,6,240,18,28,3536,109,196,1
LeSabre Limited 4dr,Buick,Sedan,USA,Front,32245,29566,3.8,6,205,20,29,3591,112,200,1
Park Avenue 4dr,Buick,Sedan,USA,Front,35545,32244,3.8,6,205,20,29,3778,114,207,1
Park Avenue Ultra 4dr,Buick,Sedan,USA,Front,40720,36927,3.8,6,240,18,28,3909,114,207,1
Escalade,Cadillac,SUV,USA,Front,52795,48377,5.3,8,295,14,18,5367,116,199,1
SRX V8,Cadillac,SUV,USA,Front,46995,43523,4.6,8,320,16,21,4302,116,195,1
CTS VVT 4dr,Cadillac,Sedan,USA,Rear,30835,28575,3.6,6,255,18,25,3694,113,190,1
Deville 4dr,Cadillac,Sedan,USA,Front,45445,41650,4.6,8,275,18,26,3984,115,207,1
Deville DTS 4dr,Cadillac,Sedan,USA,Front,50595,46362,4.6,8,300,18,26,4044,115,207,1
Seville SLS 4dr,Cadillac,Sedan,USA,Front,47955,43841,4.6,8,275,18,26,3992,112,201,1
XLR convertible 2dr,Cadillac,Sports,USA,Rear,76200,70546,4.6,8,320,17,25,3647,106,178,1
Escalade EXT,Cadillac,Truck,USA,All,52975,48541,6,8,345,13,17,5879,130,221,1
Suburban 1500 LT,Chevrolet,SUV,USA,Front,42735,37422,5.3,8,295,14,18,4947,130,219,1
Tahoe LT,Chevrolet,SUV,USA,All,41465,36287,5.3,8,295,14,18,5050,116,197,1
TrailBlazer LT,Chevrolet,SUV,USA,Front,30295,27479,4.2,6,275,16,21,4425,113,192,1
Tracker,Chevrolet,SUV,USA,Front,20255,19108,2.5,6,165,19,22,2866,98,163,1
Aveo 4dr,Chevrolet,Sedan,USA,Front,11690,10965,1.6,4,103,28,34,2370,98,167,1
Aveo LS 4dr hatch,Chevrolet,Sedan,USA,Front,12585,11802,1.6,4,103,28,34,2348,98,153,1
Cavalier 2dr,Chevrolet,Sedan,USA,Front,14610,13697,2.2,4,140,26,37,2617,104,183,1
Cavalier 4dr,Chevrolet,Sedan,USA,Front,14810,13884,2.2,4,140,26,37,2676,104,183,1
